"Anatomical Structures, Cell Types and Biomarkers Table for Ovary v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s): ,Kathleen O'Neill; Elizabeth Tsui; Monica M Laronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-1980-6840; 0000-0003-4503-8494; 0000-0001-7840-4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Richard LeDuc (0000-0002-6951-2923); Ellen Quardokus (0000-0001-7655-4833),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM643.BVHM.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,12/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/2,CT/2/LABEL,CT/2/ID,CT/3,CT/3/LABEL,CT/3/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,BGene/5,BGene/5/LABEL,BGene/5/ID,BGene/6,BGene/6/LABEL,BGene/6/ID,BGene/7,BGene/7/LABEL,BGene/7/ID,BGene/8,BGene/8/LABEL,BGene/8/ID,BGene/9,BGene/9/LABEL,BGene/9/ID,BGene/10,BGene/10/LABEL,BGene/10/ID,BProtein/1,BProtein/1/LABEL,BProtein/1/ID,BProtein/2,BProtein/2/LABEL,BProtein/2/ID,BProtein/3,BProtein/3/LABEL,BProtein/3/ID,BProtein/4,BProtein/4/LABEL,BProtein/4/ID,BProtein/5,BProtein/5/LABEL,BProtein/5/ID,BProtein/6,BProtein/6/LABEL,BProtein/6/ID,BProtein/7,BProtein/7/LABEL,BProtein/7/ID,BProtein/8,BProtein/8/LABEL,BProtein/8/ID,BProtein/9,BProtein/9/LABEL,BProtein/9/ID,BProtein/10,BProtein10/LABEL,BProtein10/ID,BProtein/11/,BProtein/11/LABEL,BProtein/11/ID,BProteoform/1,BProteoform/1/LABEL,BProteoform/1/ID,BProteoform/2,BProteoform/2/LABEL,BProteoform/2/ID,BLipid/1,BLipid/1/LABEL,BLipid/1/ID,BLipid/2,BLipid/2/LABEL,BLipid/2/ID,BMetabolites/1,BMetabolites/1/LABEL,BMetabolites/1/ID,BMetabolites/2,BMetabolites/2LABEL,BMetabolites/2/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES,REF/3,REF/3/DOI,REF/3/NOTES,REF/4,REF/4/DOI,REF/4/NOTES,REF/5,REF/5/DOI,REF/5/NOTES,REF/6,REF/6/DOI,REF/6/NOTES
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,postovulatory follicle,postovulatory follicle,UBERON:2001571,granulosa cell layer,granulosa cell layer,UBERON:0005170,,,,,,,mural granulosa cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,postovulatory follicle,postovulatory follicle,UBERON:2001571,follicular antrum,follicular antrum,UBERON:0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,postovulatory follicle,postovulatory follicle,UBERON:2001571,theca cell layer,theca cell layer,UBERON:0000155,theca externa,theca externa,UBERON:0000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,postovulatory follicle,postovulatory follicle,UBERON:2001571,theca cell layer,theca cell layer,UBERON:0000155,theca interna,theca interna,UBERON:0000157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,atretic follicle of ovary,atretic follicle of ovary,UBERON:0007180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,corpus luteum,corpus luteum,UBERON:0002512,corpus luteum granulosa lutein layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).",No DOI,,"Mills, Stacey E. Histology for Pathologists . Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020.",No DOI,,"McKAY, DONALD, PINKERTON, J., HERTIG, ARTHUR & DANZIGER, SARA. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. ",No DOI,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,corpus luteum,corpus luteum,UBERON:0002512,corpus luteum granulosa theca layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).",No DOI,,"Mills, Stacey E. Histology for Pathologists . Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020.",No DOI,,"McKAY, DONALD, PINKERTON, J., HERTIG, ARTHUR & DANZIGER, SARA. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. ",No DOI,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,corpus luteum,corpus luteum,UBERON:0002512,,,,,,,,,,,,,corpus luteum endothelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).",No DOI,,"Mills, Stacey E. Histology for Pathologists . Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020.",No DOI,,"McKAY, DONALD, PINKERTON, J., HERTIG, ARTHUR & DANZIGER, SARA. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. ",No DOI,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,corpus luteum,corpus luteum,UBERON:0002512,,,,,,,,,,,,,corpus luteum macrophage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).",No DOI,,"Mills, Stacey E. Histology for Pathologists . Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020.",No DOI,,"McKAY, DONALD, PINKERTON, J., HERTIG, ARTHUR & DANZIGER, SARA. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39. ",No DOI,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,corpus luteum of pregnancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,corpus albicans,corpus albicans,UBERON:0000450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,corpus atretica,Corpus fibrosum of ovary,FMA:323217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian corticomedullary junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).",No DOI,,"Mills, Stacey E. Histology for Pathologists . Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020.",No DOI,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian medulla,ovarian medulla,UBERON:0013192,matrisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian medulla,ovarian medulla,UBERON:0013192,ovarian medullary vasculature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).",No DOI,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian medulla,ovarian medulla,UBERON:0013192,lymphatic vessels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian medulla,ovarian medulla,UBERON:0013192,nerves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian interstitia,,,mesenchyme of ovary,mesenchyme of ovary,UBERON:0003315,matrisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian interstitia,,,ovary stroma,ovary stroma,UBERON:0006960,,,,,,,,,,,,,Stroma Type I cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian interstitia,,,ovary stroma,ovary stroma,UBERON:0006960,,,,,,,,,,,,,Stroma Type II cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian interstitia,,,ovary stroma,ovary stroma,UBERON:0006960,,,,,,,,,,,,,Stroma Type III cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian interstitia,,,ovary stroma,ovary stroma,UBERON:0006960,,,,,,,,,,,,,Stroma Type IV cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior antimesenteric ovary,,,ovarian interstitia,,,ovary stroma,ovary stroma,UBERON:0006960,,,,,,,,,,,,,Stroma Type V cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,epithelium of female gonad,epithelium of female gonad,UBERON:0004911,,,,,,,,,,,,,,,,flattened cuboidal ovarian surface epithelial cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,calretinin,,,mesothelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mills, Stacey E. Histology for Pathologists . Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020.",No DOI,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).
",No DOI,,"Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578",DOI: 10.1371/journal.pone.0055578,,"Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34–43",DOI: 10.1016/0090-8258(79)90005-2,,"McKAY, DONALD, PINKERTON, J., HERTIG, ARTHUR & DANZIGER, SARA. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39.",No DOI,,"Papadaki L, Beilby JO. The fine structure of the surface epithelium of the human ovary. J Cell Sci 1971;8:445–465",DOI: 10.1242/jcs.8.2.445,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,epithelium of female gonad,epithelium of female gonad,UBERON:0004911,,,,,,,,,,,,,,,,columnar ovarian surface epithelial columnar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oviduct-specific glycoprotein-1,,,E-cadherin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mills, Stacey E. Histology for Pathologists . Fifth edition. Philadelphia: Lippincott Williams & Wilkins, 2020.",No DOI,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).
",No DOI,,"Hummitzsch K, Irving-Rodgers HF, Hatzirodos N, et al. A new model of development of the mammalian ovary and follicles. PLoS One 2013;8:e55578",DOI: 10.1371/journal.pone.0055578,,"Blaustein A, Lee H. Surface cells of the ovary and pelvic peritoneum: A histochemical and ultrastructural comparison. Gynecol Oncol 1979;8:34–43",DOI: 10.1016/0090-8258(79)90005-2,,"McKAY, DONALD, PINKERTON, J., HERTIG, ARTHUR & DANZIGER, SARA. (1961). The Adult Human Ovary: A Histochemical Study. Obstetrics & Gynecology, 18(1), 13-39.",No DOI,,"Papadaki L, Beilby JO. The fine structure of the surface epithelium of the human ovary. J Cell Sci 1971;8:445–465",DOI: 10.1242/jcs.8.2.445,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,tunica albuginea of ovary,tunica albuginea of ovary,UBERON:0006644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reeves, G. Specific Stroma In The Cortex And Medulla Of The Ovary. Cell Types And Vascular Supply In Relation To Follicular Apparatus And Ovulation. Obstet. Gynecol. Surv. 27, 179–181 (1971).",No DOI,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,matrisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Matrisome Project http://web.mit.edu/hyneslab/matrisome/,No DOI,,"
Naba A, Clauser KR, Hoersch S, Liu H, Carr SA, Hynes RO. The matrisome: in silico definition and in vivo characterization by proteomics of normal and tumor extracellular matrices. Mol. Cell. Prot.  2011. (Published on December 9, 2011, doi:10.1074/mcp.M111.014647). PMID:22159717",DOI: 10.1074/mcp.M111.014647,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,cortical blood vessels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Matrisome Project http://web.mit.edu/hyneslab/matrisome/,No DOI,,"Naba A, Clauser KR, Hoersch S, Liu H, Carr SA, Hynes RO. The matrisome: in silico definition and in vivo characterization by proteomics of normal and tumor extracellular matrices. Mol. Cell. Prot.  2011. (Published on December 9, 2011, doi:10.1074/mcp.M111.014647). PMID:22159717",DOI: 10.1074/mcp.M111.014647,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,preantral follicle,,,primordial ovarian follicle,primordial ovarian follicle,UBERON:0003981,,,,,,,primary oocyte,primary oocyte,CL:0000654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,preantral follicle,,,primordial ovarian follicle,primordial ovarian follicle,UBERON:0003981,granulosa cell layer,granulosa cell layer,UBERON:0005170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,preantral follicle,,,primary ovarian follicle,primary ovarian follicle,UBERON:0000035,,,,,,,primary oocyte,primary oocyte,CL:0000654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,preantral follicle,,,primary ovarian follicle,primary ovarian follicle,UBERON:0000035,granulosa cell layer,granulosa cell layer,UBERON:0005170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
Ovary,Ovary,UBERON:0000992,central ovary,,,central inferior ovary,,,central inferior mesenteric ovary,,,ovarian cortex,ovarian cortex,UBERON:0013191,ovarian follicle,ovarian follicle,UBERON:0001305,preantral follicle,,,secondary ovarian follicle (class I),secondary ovarian follicle,UBERON:0000036,,,,,,,primary oocyte,primary oocyte,CL:0000654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMID: 3558758,DOI: 10.1093/oxfordjournals.humrep.a136365,,,,,,,,,,,,,,,,
